Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
Y-74244,H5,9.8,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24622,35.66667,-71.5
ALHA78023,H5,9.8,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1639,159.66667,-76.71667
ALHA78201,H5,9.8,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1814,159.66667,-76.71667
ALHA78238,L3.5,9.8,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1851,159.66667,-76.71667
Y-791721,CO3,9.8,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27070,35.66667,-71.5
Y-792786,LL4,9.8,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28135,35.66667,-71.5
RKPA80266,H6,9.8,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=22535,158.28864,-76.23843
FRO 84035,H6,9.8,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=10397,160.47328,-72.95488
ALH 84228,H5,9.8,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=830,159.34932,-76.6836
EET 84305,LL6,9.8,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=8044,157.15611,-76.30945
ALH 84219,L6,9.8,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=821,156.91147,-77.00107
Y-86323,H4,9.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29829,35.66667,-71.5
LEW 86446,H4,9.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13376,161.42773,-84.26936
LEW 86131,H5,9.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13070,161.41217,-84.25658
ALH 86608,L6,9.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=1033,159.41622,-76.73058
A-880183,Stone-uncl,9.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=2892,26,-72
LEW 88226,L6,9.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13979,161.44726,-84.2322
LEW 88240,H6,9.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13992,161.44568,-84.2332
LEW 88783,LL3.6,9.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14519,161.42846,-84.24989
LEW 88512,H6,9.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14255,161.40409,-84.2504
LEW 88715,H5,9.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14452,161.37684,-84.27517
RC 072,L5,9.8,Found,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=22727,-103.48333,34.1
EET 90906,L6,9.8,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9315,156.49865,-76.27316
EET 90066,L3.3,9.8,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8476,156.46146,-76.27713
PCA 91311,H5,9.8,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18602,-69.06829,-85.67879
EET 92143,CR2,9.8,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=9545,156.03077,-76.04508
LEW 93809,L5,9.8,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=14533,161.40554,-84.26502
QUE 94223,H5,9.8,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=19864,168,-84
QUE 94598,L5,9.8,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=20229,168,-84
ALH 94016,L6,9.8,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=1273,159.66667,-76.71667
QUE 97227,LL5,9.8,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20685,168,-84
QUE 97454,LL5,9.8,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20910,168,-84
QUE 97582,LL5,9.8,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21038,168,-84
QUE 97609,LL5,9.8,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21065,168,-84
GRA 98138,H5,9.8,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=11129,-141.5,-86.71667
QUE 99275,LL5,9.8,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21726,168,-84
EET 99457,L4,9.8,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=9999,157.16667,-76.18333
MET 00983,L5,9.8,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16217,159.75,-79.68333
MET 001086,LL5,9.8,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15582,159.75,-79.68333
FRO 01086,H5,9.8,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=10269,160.47472,-72.97333
GRV 023161,H5,9.8,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=50139,75.3394,-72.7739
Shi??r 153,H~5,9.8,Found,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=51700,53.9955,18.25432
Y-790071,H4,9.79,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25420,35.66667,-71.5
RaS 335,L3.9,9.79,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=55642,55.43055,20.80103
PCA 02050,CM2,9.78,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=18232,-68.7,-85.63333
ALHA78206,H5,9.77,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1819,159.66667,-76.71667
Y-791510,E5-an,9.77,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26859,35.66667,-71.5
Y-792568,H4/5,9.77,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27917,35.66667,-71.5
Y-792082,Stone-uncl,9.76,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27431,35.66667,-71.5
Y-791243,H4/5,9.75,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26592,35.66667,-71.5
A-881149,Stone-uncl,9.75,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3858,26,-72
GRV 023165,L6,9.75,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=50140,75.3394,-72.7739
FRO 03048,H6,9.75,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=30606,160.46725,-72.95258
Y-86202,H4,9.74,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29708,35.66667,-71.5
LAP 02289,H5,9.74,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12556,-70,-86.36667
GRV 022187,L6,9.74,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47916,75.292222,-72.781111
FRO 90202,H3.9/4,9.73,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=10592,160.47328,-72.95488
FRO 90157,L6,9.73,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=10549,160.43429,-72.95542
GRV 020284,L6,9.73,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47765,75.246389,-72.983889
A-880169,Stone-uncl,9.72,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=2878,26,-72
GRV 021681,L6,9.72,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47837,75.330556,-72.775833
GRV 021730,L6,9.72,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47849,75.298889,-72.790556
Bene??ov (a),LL3.5,9.72,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=54854,14.63333,49.76667
